,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
5431,Restaurante Papitu,,€11 - €25,2.5,,"Passatge de la Virreina, 1","Passatge de la Virreina, 08001 Barcelona, Spain",41.3821211,2.1709537
5432,Sydney Bcn,,Spanish,2.5,,Avenida Rio de Janeiro 42,"Catalonia, Spain",41.66667,2.0
5433,The Wok Club,,€7 - €15,2.5,,Carrer Llanca 15-21,"Carrer Llançà, 08415 Santa Eulàlia de Ronçana, Spain",41.6446804,2.1915256
5434,Restaurante Cosmos,,European,2.0,,"Calle La Rambla, 34","La Rambla, Barcelona, Spain",41.3808205,2.1735709
5435,Via 70  Restaurant Wine Bar Lounge,,Spanish,2.0,,La Rambla N0 70,"La Rambla, Barcelona, Spain",41.3808205,2.1735709
5436,Cafe da Madeira,,Table Service,1.5,,Manso 22,"carrer del General Manso, Borredà, Spain",42.1342602,1.9951674
5437,AMK restaurante,,€9 - €21,5.0,,C/ Aribau 143,"Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
5438,Itapa Colon,,€5 - €14,2.5,,La Ramblas 23,"Hotel chic&basic Ramblas, Passatge de Gutenberg, 7, 08001 Barcelona, Spain",41.3770098,2.1748842
5439,El Llagar de Granda,,Spanish,3.0,,"Muntaner, 92","el Muntaner, Sobremunt, Catalonia, Spain",42.0316824,2.1622
5440,Que Pasta! by Mandoni,,"Lunch, Dinner",1.5,,"Avinguda Diagonal, 3","Foster’s Hollywood, Avinguda Diagonal, 3, 08021 Barcelona, Spain",41.3921,2.14477
5441,Giuliani's,,Italian,2.0,,Paseo Potosi- 2,"Potosí, 08922 Santa Coloma de Gramenet, Spain",41.4431877,2.2068058
5442,Can Carbonell,,Spanish,2.0,,"Ctra de Sant Celoni a Santa Fe del Montseny, km 16,4",Comoros,-12.23333,44.44553
5443,Restaurante Aroma,,€7 - €20,5.0,,"Avenida de Roma, 38","Avinguda de Roma, 08011 Barcelona, Spain",41.3852871,2.1545624
5444,Al Rahmat Kebab Pizzeria,,"Italian, Indian, Turkish, Pakistani",1.0,,"Carrer del Pla de Fornells, 8","Carrer del Pla de Fornells, 08042 Barcelona, Spain",41.4484069,2.1737174
5445,Pans & Company,,€3 - €7,2.0,,Josep Tarradellas Airport,"Barcelona El Prat Josep Tarradellas Airport, Ronda de Josep Canudas i Busquets, 08820 el Prat de Llobregat, Spain",41.2969439,2.0790474
5446,La Bona Tapa,,"Mediterranean, European, Spanish",2.0,,"Calabria, 103","Carrer de Calàbria, 103, 08015 Barcelona, Spain",41.379808,2.1545078
5447,Restaurant Fusion Lounge,,Table Service,2.0,,Carrer Potosi 2,"Potosí, 08922 Santa Coloma de Gramenet, Spain",41.4431877,2.2068058
5448,Bonatapa,,"Mediterranean, European, Spanish",2.0,,La Rambla 103,"Tavertet, Catalonia, Spain",42.0135355,2.425772
5449,El vuit Bodega iniesta,,€10 - €40,3.0,,Calle Gallego,"Carrer del Gallego, 08202 Sabadell, Spain",41.5508043,2.1218578
5450,Ethniko Barcelona,,€10 - €35,4.5,,Passeig de Joan de Borbo 74,"Passeig de Joan de Borbó, 08 Barcelona, Spain",41.3810792,2.1863797
5451,Bracafe,,"Spanish, Mediterranean",2.0,,"Rambla De Badal, 161-167","Rambla de Badal, 082028 Barcelona, Spain",41.3754069,2.1306677
5452,Kabab Ghar,,"Mediterranean, Spanish",2.0,,"Ronda de Sant Pau, 54","Ronda de Sant Pau, 08001 Barcelona, Spain",41.3749809,2.1678835
5453,Top Tapas,,"Bar, Mediterranean, European, Spanish",2.0,,Las Ramblas,"Barcelona, Catalonia, Spain",41.3828939,2.1774322
5454,Burger Time Gourmet,,€5 - €15,4.5,,Carrer de Casanova 9,"Carrer de Casanova, 9, 08011 Barcelona, Spain",41.3822354,2.1626229
5455,La Zarzuela,,Spanish,1.5,,Rambla Caputxins 66,"La Rambla, Rambla del Carme, 08500 Vic, Spain",41.9312616,2.2550572
5456,Ca La Merce,,"Bar, Spanish, European, Pub",2.0,,"Placa Castilla, 1","Castilla, Carrer de Parcerisa, 15, 08014 Barcelona, Spain",41.3681469,2.13458
5457,Casa Massana,,Spanish,2.0,,avenue francesc Ferrer Guardia 13 poble Espanyol,"Poble Espanyol, Catalonia, Spain",41.36873,2.14839
5458,sukaldari,,"Mediterranean, Spanish",2.0,,"La Rambla, 87","La Rambla, 87, 08001 Barcelona, Spain",41.3819737,2.1722987
5459,La Baguetina Catalana,,Takeout,1.5,,"Balmes, 130","Carrer de Jaume Balmes, 08301 Mataró, Spain",41.5360766,2.4467214
5460,Burger King,,American,1.5,,"Passeig de Joan de Borbo, 2","Passeig de Joan de Borbó, 72 Barcelona, Spain",41.380025,2.1873629
5461,Xines Orient,,Chinese,1.5,,La Rambla 45,"Tavertet, Catalonia, Spain",42.0135355,2.425772
5462,Chiringuito Maluke,,"Italian, Brew Pub, Bar, Cafe, Spanish, Pub",1.5,,"Paseo Mare Nostrum, 93","Mare Nostrum, Passeig de Valldaura, 08035 Barcelona, Spain",41.43652,2.154851
5463,Restaurant Ideal,,"European, Spanish, Mediterranean",2.0,,"La Rambla, 41","Tavertet, Catalonia, Spain",42.0135355,2.425772
5464,Foster's Hollywood,,"Seating, Table Service",2.0,,"Avda. Rio De Janeiro, 42","Catalonia, Spain",41.66667,2.0
5465,El Raco de Mitre,,Table Service,2.0,,"Ronda General Mitre, 5","Ronda del General Mitre, 08022 Barcelona, Spain",41.4027707,2.1379369
5466,Kenji Sushi Bar,,"Japanese, Sushi, Asian",2.0,,Carrer de Sepulveda 3,"Carrer de Sepúlveda, 08015 Barcelona, Spain",41.3803469,2.1586871
5467,El Bocata,,"Spanish, Cafe, Fast Food, Diner, Street Food",2.0,,"Passeig de Sant Antoni, 37","Passeig de Sant Antoni, 08014 Barcelona, Spain",41.3758026,2.1359113
5468,La Cantonada,,Spanish,2.0,,"Sant Carles, 14","Sant Carles, carrer de Begur, 14, 08450 Llinars del Vallès, Spain",41.6009156,2.3780727
5469,Pais Divino,,"Chinese, Japanese, Asian",2.0,,"Calle Secretari Coloma, 67-69","Carrer de Pau Alsina, 08024 Barcelona, Spain",41.4118791,2.1604284
5471,Bodega Mendoza,,"Bar, Spanish, Wine Bar, Argentinean, South American, Dining bars",1.0,,C/Ramon Turro 181,"Carrer de Ramon Turró, 181, 08005 Barcelona, Spain",41.3995203,2.2022771
5472,Real Tapas,,"Italian, Pizza, Seafood, Spanish",2.0,,Calle La Rambla 40,"La Rambla, 80002 Barcelona, Spain",41.3811995,2.1733931
5473,San Remo Restaurant and Pizzaria,,"Cafe, European, Contemporary, Diner, Spanish",2.0,,37 Rambla dels Caputuxins,"Catalonia, Spain",41.66667,2.0
5474,American Soda,,Spanish,1.5,,La Rambla 69,"Tavertet, Catalonia, Spain",42.0135355,2.425772
5475,Restaurant International 08002 Barcelona,,"Asian, Chinese",1.5,,"C/ Fernando 5,","Fernando, Carrer de Ferran, 08002 Barcelona, Spain",41.3814249,2.1754606
5476,L’oliva,,"Mediterranean, European, Spanish",2.0,,"La Rambla, 22","Tavertet, Catalonia, Spain",42.0135355,2.425772
5477,Restaurante Brasil,,"Mediterranean, Spanish",1.5,,La Rambla 50,"Tavertet, Catalonia, Spain",42.0135355,2.425772
5478,Restaurant Noku,,€18 - €35,1.0,,"Calle Santalo, 86","Carrer de Santaló, 08021 Barcelona, Spain",41.396429,2.1447797
5479,Restaurant Parkguell,,Spanish,1.5,,"Rambla de Mercedes, 26","Rambla de Mercedes, 08024 Barcelona, Spain",41.4122924,2.154122
5480,La Baguetina Catalana,,Serves Alcohol,1.5,,Carrer de Provenca,"Carrer de Provença, 8025 Barcelona, Spain",41.4062697,2.1768525
5481,restaurant oriente,,Late Night,2.0,,"c/RAMBLA,45","Tavertet, Catalonia, Spain",42.0135355,2.425772
5482,Plaza de Angel 5,,"Bar, Diner, Spanish",2.0,,"Carrer l'Angel, 5","Carrer de l'Angel, 08850 Gavà, Spain",41.3059639,2.0016819
5483,El Rincon de Manolo,,"Lunch, Dinner",1.5,,Av. Paralelo 16,"Catalonia, Spain",41.66667,2.0
5484,Eivissa,,"Mediterranean, Spanish, European",1.5,,"Rambla, 50","Tavertet, Catalonia, Spain",42.0135355,2.425772
5485,Tapa Nostra,,"Spanish, European",2.0,,La Rambla 66,"Tavertet, Catalonia, Spain",42.0135355,2.425772
5486,Tapa i Apat,,"Bar, Pizza, Seafood, Diner, Spanish",2.0,,"Gran de Gracia, 44","Carrer Gran de Gràcia, 08012 Barcelona, Spain",41.4016856,2.1533142
5487,Gaft Gc Sl,,"Mediterranean, Spanish",2.0,,Avenue Drassanes,"Drassanes, Carrer del Portal de Santa Madrona, 80002 Barcelona, Spain",41.3765687,2.1755547
5488,Bar Estel,,€5 - €15,5.0,,Viladomat 209,"Viladomat, Plaça de l'Ajuntament, 08698 la Nou de Berguedà, Spain",42.1671835,1.884449
5489,Baviera Restaurant,,€6 - €60,2.0,,"La Rambla, 127","La Rambla, 127, 08002 Barcelona, Spain",41.3849501,2.1701199
5490,Telepizza,,"Pizza, Fast Food",2.0,,Calle viladomat,"Viladomat, Plaça de l'Ajuntament, 08698 la Nou de Berguedà, Spain",42.1671835,1.884449
5491,Cerveceria Colon,,"Bar, Spanish",2.0,,Plaza Real 18,"Royal Square, Barcelona, Spain",41.3800909,2.1750111
5492,Cerveceria Naviera Hosteleria Alemana,,Spanish,2.0,,Rambla Canaletas 127,"Caserío de Canaletas, Catalonia, Spain",41.47776,1.70407
5493,El Mordisquito,,Spanish,,,Calle Navas de Tolosa 240,"Avinguda Meridiana, Navas de Tolosa, 08026 Barcelona, Spain",41.4154995,2.1871433
5494,ARTAPAS BARCELONA,,€5 - €20,,,Calle Provenca 269,"Carrer Provença, 08770 Sant Sadurní d'Anoia, Spain",41.4244026,1.7845184
5495,Delaparra,,,5.0,,Passeig del Taulat 183,"Passeig del Taulat, 08019 Barcelona, Spain",41.4093534,2.2175438
5496,Hana  Restaurante,,"Asian, Korean",5.0,,"Carrer de la Diputacio, 309","Carrer de la Diputació, 309, 08013 Barcelona, Spain",41.3929387,2.1702668
5497,Restaurant Mirasol,,"Bar, Cafe, European, Pub, Catalan, Dining bars",0.0,,"Carrer de Sant Adria, 25","Mirasol, Carrer de Sant Adrià, 25, 08030 Barcelona, Spain",41.434411,2.1926269
5498,Restaurante Tisso,,€10 - €20,0.0,,Tisso 29 rte,"Carrer d'en Tissó, 08016 Barcelona, Spain",41.4425714,2.1855217
5499,El Braserito de Muntaner,,"Brew Pub, Spanish, Grill, Pub, Argentinean, South American",0.0,,"Carrer de Muntaner, 560","Carrer de Muntaner, 08036 Barcelona, Spain",41.3924477,2.1517144
5500,Heladeria brina,,Fruit parlours,0.0,,Placa comerc,"Comerç, Passeig del Comerç, 08204 Sabadell, Spain",41.529293,2.108068
5501,Les Voltes,,€10 - €25,0.0,,"Carrer de Cortit, 1-3","Carrer de Cortit, 08027 Barcelona, Spain",41.4258501,2.1898017
5502,Bluebells,,"Spanish, Mediterranean",1.5,,"Carrer de Sant Antoni Maria Claret, S/N","Carrer de Sant Antoni Maria Claret, 08025 BARCELONE Barcelona, Spain",41.4101891,2.1730069
5503,La casa del jamon,,"Outdoor Seating, Seating, Serves Alcohol, Table Service",1.0,,Cercano a Sagrada Familia,"Sagrada Família, Catalonia, Spain",41.40408,2.17332
5504,A33 pizzeria napoletana,,€6 - €18,4.5,,Carrer de Manso 22,"Carrer de Manso, 08015 Barcelona, Spain",41.3759255,2.1595946
5505,Trabucaire,,Spanish,1.5,,Carrer de Mallorca 420,"Carrer de Mallorca, 420, 08013 Barcelona, Spain",41.4032864,2.1753159
5506,La Baguetina Catalana,,Fast Food,1.0,,"Passeig de Gracia, 86","Passeig de Gràcia, 86, 08008 Barcelona, Spain",41.3946741,2.1622856
5507,La Baguetina,,Fast Food,1.5,,Rambla De Caputxins 112,"La Rambla, Rambla del Carme, 08500 Vic, Spain",41.9312616,2.2550572
5508,La Baguetina Catalana,,Fast Food,1.5,,"La Rambla, 56","Tavertet, Catalonia, Spain",42.0135355,2.425772
5509,Teima Tapes,,Spanish,1.5,,"10, Placa de Sant Josep Oriol","Plaça de Sant Josep Oriol, Barcelona, Spain",41.3823388,2.1741475
5510,Bakery On Time,,"Takeout, Seating, Serves Alcohol, Table Service",1.5,,"Passeig de Gracia, 60","Passeig de Gràcia, 60, 08007 Barcelona, Spain",41.3927966,2.1646154
5511,Bokaditos,,Pizza,1.5,,Gran Via de Les Corts Catalanes,"Gran Via de les Corts Catalanes, 08018 Barcelona, Spain",41.4101378,2.1957677
5512,Restaurante Cuines,,"European, Spanish, Mediterranean",1.5,,"La Rambla, 100","Tavertet, Catalonia, Spain",42.0135355,2.425772
5513,Boka,,"Lebanese, Pizza, International, Spanish, Middle Eastern, Fast Food",1.5,,"Gran Via de les Corts Catalanes, 373 - 385","Veritas, Gran Via de les Corts Catalanes, 373-385, 8015 Barcelona, Spain",41.3761395,2.1493475
5514,Break.Eat,,"Cafe, Spanish, Healthy, Wine Bar",,,Calle Pau Claris 169,"Carrer Pau Claris, 08505 Vic, Spain",41.9137074,2.2301625
5515,Pita House,,Spanish,1.5,,La Rambla 54,"La Rambla, 54, 80002 Barcelona, Spain",41.3798421,2.1746477
5516,El Cafe de la Bota,,Spanish,,,Calle de Provenza,"Catalonia, Spain",41.66667,2.0
5517,Brazilian World Cafe,,€5 - €10,,,"Carrer del Dos de Maig, 281","Carrer del Dos de Maig, 8025 Barcelona, Spain",41.4070674,2.1819917
5518,La grangeta,,Cafe,,,Carrer Gran 60,"Carrer Gran, 08784 Piera, Spain",41.5054681,1.7515464
5519,Sopar Enigma,,€70 - €71,,,Carrer del carme 47,"Biblioteca Sant Pau i Santa Creu, Carrer del Carme, 47, 08001 Barcelona, Spain",41.3812356,2.1694612
5520,Casapalet,,Mediterranean,,,La forja 24,"Carrer de la Forja, 08225 Terrassa, Spain",41.5832833,2.0089836
5521,Freakadelle,,Dinner,,,"C/ Francisco Giner, 22","Carrer de Francisco Giner, 08008 Barcelona, Spain",41.399093,2.1591747
5522,Cielito Lindo Barcelona,,Mexican,,,"Av. Alfonso XIII 561,","Catalonia, Spain",41.66667,2.0
5523,S'Agaro Pizza & Coctel,,"Breakfast, Lunch, Dinner",,,Calle Calabria 232,"Carrer de Calàbria, 08015 Barcelona, Spain",41.3772608,2.1582326
5524,Fridays,,American,,,El Prat Airport,"Barcelona El Prat Josep Tarradellas Airport, Ronda de Josep Canudas i Busquets, 08820 el Prat de Llobregat, Spain",41.2969439,2.0790474
5525,Timesburg Pl. Eivissa,,€7 - €15,,,"Placa Eivissa, 11","Plaça Eivissa, Plaça d'Eivissa, 08043 Barcelona, Spain",41.4301115,2.1610103
5526,Can Patufet,,,,,Carrer De Roger De Flor 388,"Carrer de Roger de Flor, la Torre de Claramunt, Spain",41.5172551,1.6251584
5527,Frankfurt El Chiringuito,,"Indian, Middle Eastern, Pakistani",,,"Carrer Major de Mercabarna, 76","Carrer Major de Mercabarna, 08820 Barcelona, Spain",41.330118,2.1147424
5528,Bar Xirocco,,€2 - €20,,,Calle Mare de Deu del Remei,"Mare de Déu del Remei, Carrer de Joan XXIII, 08243 Manresa, Spain",41.7270954,1.8317009
5529,Las Muns Poble Sec,,€2 - €11,,,Carrer de Blai 36,"Carrer de Blai, 08001 Barcelona, Spain",41.3729517,2.1664379
5530,Nostrum,,"Seafood, Mediterranean",,,"Placa d'Europa, 1-3","Santander, Plaça d'Europa, 1-3, 08908 l'Hospitalet de Llobregat, Spain",41.357388,2.126725
5531,634832115,,€4 - €12,,,Rabassa 39,"Rabassa, Carrer de Rabassa, 5, 08024 Barcelona, Spain",41.4069631,2.1586352
5532,Massa,,Italian,,,"Mallorca, 196","Mallorca, Carrer de Mallorca, 08009 Barcelona, Spain",41.3968924,2.1667115
5533,Bar Granja Pepi,,Diner,,,Calle Ramon Turro 159,"Carrer de Ramon Turró, 0805 Barcelona, Spain",41.3913144,2.1914709
5534,La Mascara Restaurante,,Mediterranean,,,"C/ Rosello, 197","Carrer del Roselló, 08303 Mataró, Spain",41.5388572,2.4250429
5535,Panchito Parcerisa,,Reservations,,,"Carrer De Parcerisa, 11","Carrer de Parcerisa, 082028 Barcelona, Spain",41.3672764,2.1358195
5536,Sal y Pimienta,,Reservations,,,"Carrer d'Amilcar, 134","Carrer d'Amílcar, 08031 Barcelona, Spain",41.4265172,2.172363
5537,Enrich,,Mediterranean,,,Marques de Sentmenat 24,"Carrer del Marquès de Sentmenat, 08029 Barcelona, Spain",41.3853667,2.1406735
5538,Delhi Tadka,,Indian,,,"Carrer del Dr. Fleming, 6","Carrer del Doctor Fleming, 6, 08800 Vilanova i la Geltrú, Spain",41.2238926,1.7192844
5539,The Yard,,Reservations,,,"Carrer del Bruc, 46","Espai Brotes, Carrer del Bruc, 46, 08901 l'Hospitalet de Llobregat, Spain",41.3625857,2.0993801
5540,Fun,,Reservations,,,Carrer De Craywinckel 9,"Donpiso, Carrer de Craywinckel, 9, 08022 Barcelona, Spain",41.4119219,2.1393959
5541,Aguita,,Reservations,,,"Carrer De La Volta D'En Colomines, 2","Carrer de la Volta d'en Colomines, CP 08003 Barcelona, Spain",41.3845363,2.1791545
5542,Maison,,Reservations,,,"Carrer De Trafalgar, 13","Carrer de Trafalgar, 13, 08010 Barcelona, Spain",41.3891706,2.1749081
5543,Elfornet,,"Spanish, Catalan",,,"Carrer d'Aribau, 224","Carrer d'Aribau, 224, 08006 Barcelona, Spain",41.3973765,2.1479863
5544,Casa Dolca Farrero,,Spanish,,,Calle Montsio 2,"Parròquia de Sant Raimon de Penyafort, Rambla de Catalunya, 115, 08007 Barcelona, Spain",41.393972,2.1589668
5545,Leana,,Reservations,,,"Carrer de la Marina, 141","Carrer de la Marina, 141, 08013 Barcelona, Spain",41.396337,2.1844578
5546,FUSION & CAFE,,€6 - €10,,,Salvador Spriu 61,"Catalonia, Spain",41.66667,2.0
5547,Dunkin',,"Breakfast, Lunch, Dinner",,,"Avinguda Diagonal, 3","Foster’s Hollywood, Avinguda Diagonal, 3, 08021 Barcelona, Spain",41.3921,2.14477
5548,Forn la Riera Blanca,,Spanish,,,"Carrer de Carreras i Candi, 51","Carrer de Carreras i Candi, 082028 Barcelona, Spain",41.3727002,2.1280898
5549,BuenaMorena,,Mexican,,,Calle Aragon 122,"Catalonia, Spain",41.66667,2.0
5550,Satiamen,,Reservations,,,"Placa D'Eivissa, 10","Plaça d'Eivissa, Barcelona, Spain",41.4305274,2.1609327
5551,Bodega Dias Del Norte,,"Breakfast, Lunch, Dinner",,,Calle Casanova 19,"Avinyó, Catalonia, Spain",41.8799485,1.9562008
5552,Sapri Pizza By Mr. Fedu,,€6 - €18,,,Sant Antoni Maria Claret 127,"Catalonia, Spain",41.66667,2.0
5553,El Tastet de la Mar,,Spanish,,,Carrer de Mallorca,"Carrer de Mallorca, 08009 Barcelona, Spain",41.3960498,2.1654989
5554,Sakura Sushi bar,,Japanese,,,"Av. de la Mare de Deu de Montserrat, 13","Sakura, Avinguda de la Mare de Déu de Montserrat, 13, 08024 Barcelona, Spain",41.4132662,2.1605097
5555,Viena Corsega,,€3 - €10,,,"Calle Corsega , 174","Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
5556,Bar Restaurante Morenita,,"Caribbean, Latin, Spanish",,,Carrer de Blasco de Garay 33,"Bar Restaurant Morenita, Carrer de Blasco de Garay, 33, 08004 Barcelona, Spain",41.3736343,2.1629575
5557,iCoffee,,€20 - €30,,,"C/ Londres, 87","Carrer de Londres, 87, 08036 Barcelona, Spain",41.3930107,2.149854
5558,Jatra,,,,,"C/ Padilla, 386","Carrer de Padilla, 386, 08025 Barcelona, Spain",41.4124116,2.1686191
5559,Como en Mexico,,Mexican,,,Sardenya 416,"Sardenya, Carrer de Sardenya, 08088 Barcelona, Spain",41.4036868,2.1730622
5560,Andogal Foods Sl,,€15 - €40,,,Avenida Josep Tarradellas Number 11,"Avinguda Josep Tarradellas, 08840 Viladecans, Spain",41.3124257,2.0159275
5561,Casa Cheli Gastrotapeo,,€18 - €50,,,"Roger de Flor, 226","Roger de Flor, Carrer de Ribes, 08003 Barcelona, Spain",41.3925973,2.1813754
5562,"Espacio Gastronomico Gran Copacabana, Gastronomia Diversa",,Greek,,,16 L' Hospitalet de Llobregat,"l'Hospitalet de Llobregat, Catalonia, Spain",41.3598601,2.0997927
5563,Sport,,,,,Carrer de la Font Honrada N_49,"Carrer de la Font Honrada, 8015 Barcelona, Spain",41.3721964,2.155954
5564,Morena,,,,,Gran Via de Les Corts Catalanes 596,"L'Oliva, Gran Via de les Corts Catalanes, 596, 08007 Barcelona, Spain",41.3865549,2.164941
5565,Nimis Dinner Show,,,,,"Carrer de Muntaner, 212","4 latas, Carrer de Muntaner, 212, 08036 Barcelona, Spain",41.3933584,2.1502403
5566,La Paradeta Iberica,,"Bar, Cafe, European, Spanish, Pub",,,"Av. de Cornella, 43, 08950 Esplugues de Llobregat","08950, Spain",41.3773,2.0881
5567,Sesenta Cuarenta,,Reservations,,,"Placa D'Osca, 8","Plaça d'Osca, Barcelona, Spain",41.3760343,2.1386735
5568,4 Makis,,Reservations,,,"Carrer de Muntaner, 191","Carrer de Muntaner, 191, 08036 Barcelona, Spain",41.3929132,2.1507768
5569,Forn/Patisseria Gilabert,,,,,"Carrier Urgell, 75","Urgell, Catalonia, Spain",41.38244,2.15901
5570,Biasonvallespin odyseas sl,,€10 - €500,,,"Comte Borrell, 171","Carrer del Comte Borrell, 08029 Barcelona, Spain",41.3890729,2.1471054
5571,Raco de Maladeta,,Reservations,,,"Carrer de la Maladeta, 1","Carrer de la Maladeta, 08031 Barcelona, Spain",41.4331678,2.1749903
5572,Abar Barcelona,,€6 - €10,,,"Carrer del Cardenal Casanas, 7","Kælderkold, Carrer del Cardenal Casañas, 7, 08001 Barcelona, Spain",41.3817906,2.1733474
5573,Best Doner Kebab,,Arabic,,,"Carrer d'Arago, 590","Carrer d'Aragó, Canyelles, Spain",41.2720642,1.6990298
5574,El Postureo,,€3 - €12,,,Berenguer De Palou 45,"Berenguer de Palou, Carrer de Clara Zetkin, 08027 Barcelona, Spain",41.4238636,2.1916532
5575,Pastelea,,Spanish,,,"Passeig de Fabra i Puig, 140","Forn del Passeig, Passeig de Fabra i Puig, 140, 08016 Barcelona, Spain",41.4303903,2.1810197
5576,Bar Restaurante 99,,€3 - €30,,,"Carrer de Sant Antoni Maria Claret, 151","Carrer de Sant Antoni Maria Claret, 151, 08037 BCN Barcelona, Spain",41.4103878,2.1730973
5577,Peps Bufet,,Spanish,,,"Carrer de Grunyi, 5","Ziryab Fusion Tapas Bar, Carrer de Grunyí, 5, 08003 Barcelona, Spain",41.3840509,2.1802488
5578,Con Barro,,,,,"Carrer d'Entenca, 57","Cruix, Carrer d'Entença, 57, 8015 Barcelona, Spain",41.3781721,2.1522428
5579,El Traster,,Pizza,,,43 Carrer de Gracia,"Carrer de Gràcia, 08008 Barcelona, Spain",41.3982971,2.1580323
5580,Bar Bodega Costa Brava,,"Bar, Pub, Mediterranean, Spanish, Wine Bar",,,carrer de l'Alzina 58,"Bodega Costa Brava, Carrer de l'Alzina, 58, 8 Barcelona, Spain",41.4077693,2.1552242
5581,东方大酒店,,€8 - €50,,,"Carrer del Comte d'Urgell, 48","Wok Barcelona, Carrer del Comte d'Urgell, 46, 48, 08011 Barcelona, Spain",41.3812443,2.1601988
5582,Restaurante Wenzhou,,"Chinese, Spanish",,,C/creu Coberta 58,"Creu Coberta, Plaça Espanya, 8015 Barcelona, Spain",41.3752708,2.1483021
5583,Tauleta,,"Fast Food, Spanish",,,Aribau 37,"Aribau, Carrer d'Aribau, 37, 080007 Barcelona, Spain",41.3876521,2.1602093
5584,Bona Miga,,€4 - €10,,,Torrent de l'olla 35,"Torrent de l'Olla, Carrer del Torrent de l'Olla, 221, 08012 Barcelona, Spain",41.4066828,2.1518689
5585,Vinyl Burguers Factory,,€5 - €15,,,Calle Francesc Vinas 22,"Carrer de Francesc Vinyes, 08921 Santa Coloma de Gramenet, Spain",41.4514675,2.2063042
5586,Frankfurt Munich,,€5 - €10,,,"Carrer del Comandant Benitez, 18","Carrer del Comandant Benítez, 08028 Barcelona, Spain",41.3799406,2.126718
5587,Restaurant Japones Hanagin,,€8 - €15,,,C/Provenca 201,"Provença, Intercanviador Diagonal - Provença (L3 - L5 - FGC, 080007 Barcelona, Spain",41.3932454,2.1575069
5588,Bar  Jeaune,,"Bar, Pub",,,Bar Jeaune,"Catalonia, Spain",41.66667,2.0
5589,Bar Restaurante 515,,"Chinese, Japanese, Bar, Cafe, Sushi",,,Avenida Diagonal 515,"Avinguda Diagonal, 515, 08021 Barcelona, Spain",41.3912992,2.1407307
5590,Restaurante Marisqueria Mikel's,,Seafood,,,5 Carrer de Can Molist,"Carrer de Can Molist, 08105 Martorelles, Spain",41.5277043,2.2419835
5591,"La gallega de la plaza real, tobogan",,€10 - €30,,,Placa Reial 10,"Royal Square, Barcelona, Spain",41.3800909,2.1750111
5592,Bar Restaurant Com A Casa,,"European, Spanish, Catalan",,,"Carrer de Padilla, 279","Com a Casa, Carrer de Padilla, 279, 8025 Barcelona, Spain",41.406627,2.1757859
5593,"Romantico, specialities from Rome",,€15 - €65,,,"Avinguda de Sarria, 17","Restaurant Argentina Vinya Rosa, Avinguda de Sarrià, 17, 08029 Barcelona, Spain",41.3899015,2.1467719
5594,Bar Musical,,Wine Bar,,,calle arago 343 Barcelona,"Carrer Aragó, 08870 Sitges, Spain",41.2387213,1.8155559
5595,Crusto Gran de Gracia,,"Cafe, Mediterranean, Deli",,,"Calle Gran de Gracia, 107","Carrer Gran de Gràcia, 08012 Barcelona, Spain",41.4003762,2.154841
5596,Restaurante A Ruta Galega,,Spanish,,,"Carrer de Buenos Aires, 36","Consum, Carrer de Buenos Aires, 34, 36, 08036 Barcelona, Spain",41.3919523,2.1467165
5597,Pizzeria Ciro e Rosetta,,"Italian, Pizza",,,Tantarantana 20 - Allada Vermell 17,"Catalonia, Spain",41.66667,2.0
5598,Alto Bueno Bar Restaurante,,"International, Mediterranean, Spanish, Catalan",,,"Muntaner, 109","el Muntaner, Sobremunt, Catalonia, Spain",42.0316824,2.1622
5599,Pinata Cocktail Cantina,,€6 - €8,,,"Calle Casanova, 19","Avinyó, Catalonia, Spain",41.8799485,1.9562008
5600,Hot Cold Drinks,,€2 - €8,,,C/ Balmes 130,"Carrer de Jaume Balmes, 08301 Mataró, Spain",41.5360766,2.4467214
5601,Transportes Montserrat,,€10 - €50,,,Carrer de Paris 150,"Carrer de París, 150, 08036 Barcelona, Spain",41.3916167,2.1509647
5602,Cuimed,,€5 - €15,,,"Via Augusta, 173","Via Augusta, 173, 08006 Barcelona, Spain",41.3980152,2.1411095
5603,Cookflat Anfitriona Nancy,,"Peruvian, South American",,,Ramon y Cajal,"Carrer de Ramon y Cajal, 08490 Tordera, Spain",41.7081816,2.7257815
5604,Granja Rivero,,,,,"Av. Francesc Ferrer i Guardia, 13","Catalonia, Spain",41.66667,2.0
5605,Olemart,,"International, Asian",,,"Carrer Llull, 183","Plaça de Ramon Llull, Gràcia, Sabadell, Catalonia, Spain",41.5324095,2.1060697
5606,Tapas de Luxe,,€3 - €10,,,"Miquel Ferra, 5","Carrer de Miquel Ferrà, 08031 Barcelona, Spain",41.4300338,2.1729096
5607,AN Grup,,"American, Mediterranean",,,Avinguda Diagonal 405 bis 8e,"Avinguda Diagonal, Consolat General de l'Uruguai a Barcelona, 453 bis, 08036 Barcelona, Spain",41.3935066,2.1487471
5608,Cafeteria Fortune,,"Bar, Spanish, Asian, Pub",,,Avenida de Roma 110,"Avinguda de Roma, 08011 Barcelona, Spain",41.3856012,2.1552491
